2025-02-07 at 13:58:54 | INFO | Бот успешно запущен.
2025-02-09 at 19:32:23 | INFO | Успешно добавлено 10 записей.
2025-02-09 at 20:29:12 | INFO | Добавление нескольких записей Table. Количество: 10
2025-02-09 at 20:29:12 | INFO | Успешно добавлено 10 записей.
2025-02-09 at 20:29:12 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2025-02-09 at 20:29:12 | INFO | Успешно добавлено 9 записей.
2025-02-09 at 20:29:13 | INFO | Бот успешно запущен.
2025-02-09 at 20:34:45 | ERROR | Бот остановлен!
2025-02-09 at 20:35:57 | INFO | Добавление нескольких записей Table. Количество: 10
2025-02-09 at 20:35:57 | INFO | Успешно добавлено 10 записей.
2025-02-09 at 20:35:57 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2025-02-09 at 20:35:57 | INFO | Успешно добавлено 9 записей.
2025-02-09 at 20:35:57 | INFO | Бот успешно запущен.
2025-02-09 at 20:41:27 | ERROR | Бот остановлен!
2025-02-09 at 20:41:35 | INFO | Бот успешно запущен.
2025-02-09 at 20:41:57 | INFO | Запись User с ID 5127841744 не найдена.
2025-02-09 at 20:41:57 | INFO | Добавление записи User с параметрами: {'id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko'}
2025-02-09 at 20:41:57 | INFO | Запись User успешно добавлена.
2025-02-09 at 20:43:26 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 21:07:05 | ERROR | Бот остановлен!
2025-02-09 at 21:15:50 | INFO | Бот успешно запущен.
2025-02-09 at 21:15:58 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 21:17:24 | ERROR | Бот остановлен!
2025-02-09 at 21:17:34 | INFO | Бот успешно запущен.
2025-02-09 at 21:19:16 | ERROR | Бот остановлен!
2025-02-09 at 21:19:27 | INFO | Бот успешно запущен.
2025-02-09 at 22:01:07 | ERROR | Бот остановлен!
2025-02-09 at 22:01:18 | INFO | Бот успешно запущен.
2025-02-09 at 22:01:24 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:01:27 | INFO | Поиск всех записей Table по фильтрам: {}
2025-02-09 at 22:01:27 | INFO | Найдено 10 записей.
2025-02-09 at 22:02:57 | ERROR | Бот остановлен!
2025-02-09 at 22:03:05 | INFO | Бот успешно запущен.
2025-02-09 at 22:03:10 | INFO | Поиск всех записей Table по фильтрам: {}
2025-02-09 at 22:03:11 | INFO | Найдено 10 записей.
2025-02-09 at 22:20:44 | ERROR | Бот остановлен!
2025-02-09 at 22:23:06 | INFO | Бот успешно запущен.
2025-02-09 at 22:23:11 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:23:47 | ERROR | Бот остановлен!
2025-02-09 at 22:23:55 | INFO | Бот успешно запущен.
2025-02-09 at 22:29:12 | ERROR | Бот остановлен!
2025-02-09 at 22:29:20 | INFO | Бот успешно запущен.
2025-02-09 at 22:29:29 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:32:00 | ERROR | Бот остановлен!
2025-02-09 at 22:32:08 | INFO | Бот успешно запущен.
2025-02-09 at 22:32:10 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:32:22 | ERROR | Бот остановлен!
2025-02-09 at 22:32:30 | INFO | Бот успешно запущен.
2025-02-09 at 22:32:33 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:33:10 | ERROR | Бот остановлен!
2025-02-09 at 22:33:18 | INFO | Бот успешно запущен.
2025-02-09 at 22:33:21 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:35:11 | ERROR | Бот остановлен!
2025-02-09 at 22:38:13 | INFO | Бот успешно запущен.
2025-02-09 at 22:38:18 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:39:51 | ERROR | Бот остановлен!
2025-02-09 at 22:39:58 | INFO | Бот успешно запущен.
2025-02-09 at 22:40:04 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:42:47 | ERROR | Бот остановлен!
2025-02-09 at 22:42:54 | INFO | Бот успешно запущен.
2025-02-09 at 22:42:59 | INFO | Запись User с ID 5127841744 найдена.
2025-02-09 at 22:43:32 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 08:50:44 | ERROR | Бот остановлен!
2025-02-10 at 08:52:40 | INFO | Бот успешно запущен.
2025-02-10 at 08:52:45 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 09:05:23 | ERROR | Бот остановлен!
